Team 1,Score,Team 2,Score,Date,Video ID
Denver Nuggets,111,Oklahoma City Thunder,105,4/12/17,8HPqEwnk7Pk
San Antonio Spurs,97,Utah Jazz,101,4/12/17,t221ruYan-c
Los Angeles Lakers,94,Golden State Warriors,109,4/12/17,wE4cdy8ow5Y
Brooklyn Nets,73,Chicago Bulls,112,4/12/17,P8Uo6Qo_S1g
Toronto Raptors,98,Cleveland Cavaliers,83,4/12/17,ntP1EQMAnDw
Oklahoma City Thunder,100,Minnesota Timberwolves,98,4/11/17,fVOlH-qv8yU
Houston Rockets,96,Los Angeles Clippers,125,4/10/17,febRh2-vQ-4
San Antonio Spurs,98,Portland Trail Blazers,99,4/10/17,A271If6exZk
Utah Jazz,105,Golden State Warriors,99,4/10/17,uFa6Xqa2jtg
Cleveland Cavaliers,121,Miami Heat,124,4/10/17,_UgYphDNgrk
Minnesota Timberwolves,109,Los Angeles Lakers,110,4/9/17,oXoqRh9nu1U
Oklahoma City Thunder,106,Denver Nuggets,105,4/9/17, MQtEcQMfVTA
Cleveland Cavaliers,125,Atlanta Hawks,126,4/9/17, xBpDztmVIM8
Utah Jazz,86,Portland Trail Blazers,101,4/8/17, P6qzOfwdHIo
New Orleans Pelicans,101,Golden State Warriors,123,4/8/17, LSaTGlC6sEE
Los Angeles Clippers,98,San Antonio Spurs,87,4/8/17, ZMjx_KDrIg8
Miami Heat,106,Washington Wizards,103,4/8/17, d13eLsokt9o
Indiana Pacers,127,Orlando Magic,112,4/8/17, V9pwHFlH3NM
Boston Celtics,121,Charlotte Hornets,114,4/8/17, bjeu5pym5N4
Chicago Bulls,106,Brooklyn Nets,107,4/8/17, nM2ZyMixMdY
Minnesota Timberwolves,113,Utah Jazz,120,4/7/17, kvBxlTa3G_0
Detroit Pistons,114,Houston Rockets,109,4/7/17, 3hX0tbmDv-E
Oklahoma City Thunder,99,Phoenix Suns,120,4/7/17, Lf64cB2Qnhg
San Antonio Spurs,102,Dallas Mavericks,89,4/7/17, mcE8EEAYO_Y
Miami Heat,94,Toronto Raptors,96,4/7/17, -h1BPeGJI1I
Atlanta Hawks,114,Cleveland Cavaliers,100,4/7/17, c_6q23Utc8A
Minnesota Timberwolves,98,Portland Trail Blazers,105,4/6/17, qj1B1ndUVNk
Washington Wizards,106,New York Knicks,103,4/6/17, SO3WGl-O8Ck
Boston Celtics,116,Atlanta Hawks,123,4/6/17, TVzM1-WZ-Qs
Chicago Bulls,102,Philadelphia 76ers,90,4/6/17, kL7bsrpTods
Milwaukee Bucks,89,Indiana Pacers,104,4/6/17, rcmlUbIzhMY
Los Angeles Lakers,102,San Antonio Spurs,95,4/5/17, x5f1LiPpW1M
Golden State Warriors,120,Phoenix Suns,111,4/5/17, g50VrZbkxEk
Toronto Raptors,105,Detroit Pistons,102,4/5/17, pbd54lWUgjg
Denver Nuggets,104,Houston Rockets,110,4/5/17, 2uLEPvagpH0
Cleveland Cavaliers,114,Boston Celtics,91,4/5/17, TV_KQ0vY6tI
Miami Heat,112,Charlotte Hornets,99,4/5/17, 9pN9WAPvSU8
Minnesota Timberwolves,107,Golden State Warriors,121,4/4/17, JNMhthnJ2k8
Memphis Grizzlies,89,San Antonio Spurs,95,4/4/17, JkofIVopfSw
Milwaukee Bucks,79,Oklahoma City Thunder,110,4/4/17, g8ms1LptRPo
Toronto Raptors,90,Indiana Pacers,108,4/4/17, Nqv08QaXbU0
Orlando Magic,102,Cleveland Cavaliers,122,4/4/17, indiRFgmW5E
Portland Trail Blazers,109,Minnesota Timberwolves,110,4/3/17, PWdBnzcmwPw
Houston Rockets,123,Phoenix Suns,116,4/2/17, gM8viNZnE2c
Washington Wizards,115,Golden State Warriors,139,4/2/17, w-Fo45DpsZU
Indiana Pacers,130,Cleveland Cavaliers,135,4/2/17, Egn9maWVY_A
Chicago Bulls,117,New Orleans Pelicans,110,4/2/17, YoasZ5g3kJk
Memphis Grizzlies,103,Los Angeles Lakers,108,4/2/17, UI3lF_BD7_8
Dallas Mavericks,109,Milwaukee Bucks,105,4/2/17, AzHSV6qNG0g
Utah Jazz,103,San Antonio Spurs,109,4/2/17, 8J8dLpu_YfY
Charlotte Hornets,113,Oklahoma City Thunder,101,4/2/17, 2priqDE94Lk
Boston Celtics,110,New York Knicks,94,4/2/17, HnKTjYp3hts
Sacramento Kings,123,Minnesota Timberwolves,117,4/1/17, EOAkaaHOirU
Atlanta Hawks,104,Chicago Bulls,106,4/1/17, TB4FHSEx1qA
Los Angeles Lakers,104,Los Angeles Clippers,115,4/1/17, yBVBgGaudOI
Indiana Pacers,100,Toronto Raptors,111,3/31/17, ThB_IMvl3hc
Houston Rockets,98,Golden State Warriors,107,3/31/17, wIbD4K-yn_s
Washington Wizards,88,Utah Jazz,95,3/31/17, UrL1eOHCTGs
Orlando Magic,116,Boston Celtics,117,3/31/17, Vl7QPYybTbg
Oklahoma City Thunder,95,San Antonio Spurs,100,3/31/17, lJyBa-8wMoA
Philadelphia 76ers,105,Cleveland Cavaliers,122,3/31/17, vj23dfNo95w
Houston Rockets,107,Portland Trail Blazers,117,3/30/17, 9MeagVE9GrI
Los Angeles Clippers,124,Phoenix Suns,118,3/30/17, pdt9XcwLkho
Los Angeles Lakers,104,Minnesota Timberwolves,119,3/30/17, EvtMrWmGN2g
Cleveland Cavaliers,93,Chicago Bulls,99,3/30/17, OAxSdAH4vP4
Washington Wizards,124,Los Angeles Clippers,133,3/29/17, wgjKcZPTf_Y
Golden State Warriors,110,San Antonio Spurs,98,3/29/17, yRXm0LnZCK4
Miami Heat,105,New York Knicks,88,3/29/17, lCT2KANT3vw
Milwaukee Bucks,103,Boston Celtics,100,3/29/17, ZKLelUNJmkY
Oklahoma City Thunder,114,Orlando Magic,106,3/29/17, i0F0LW5Azvw
Washington Wizards,119,Los Angeles Lakers,108,3/28/17, d_nLRhMnpaQ
Denver Nuggets,113,Portland Trail Blazers,122,3/28/17, HvTxb5pqdhE
Golden State Warriors,113,Houston Rockets,106,3/28/17, kNOVlqx9QX0
Miami Heat,97,Detroit Pistons,96,3/28/17, gyIB5biKmXw
New Orleans Pelicans,100,Utah Jazz,108,3/27/17, Iu-pKwHxeaI
Orlando Magic,112,Toronto Raptors,131,3/27/17, 5bcjGAeHqMA
Oklahoma City Thunder,92,Dallas Mavericks,91,3/27/17, J_eGiGq-aGY
Cleveland Cavaliers,74,San Antonio Spurs,103,3/27/17, glZHTj2EvyI
New Orleans Pelicans,115,Denver Nuggets,90,3/26/17, piybXmYASMQ
Portland Trail Blazers,97,Los Angeles Lakers,81,3/26/17, 8kFwGQLMkbw
Memphis Grizzlies,94,Golden State Warriors,106,3/26/17, -cyN4tyuy50
Miami Heat,108,Boston Celtics,112,3/26/17, bUfOUubKQBs
Sacramento Kings,98,Los Angeles Clippers,97,3/26/17, 4THYfNclY-4
Oklahoma City Thunder,125,Houston Rockets,137,3/26/17, RGGqZy79oLY
Chicago Bulls,109,Milwaukee Bucks,94,3/26/17, D7XEVdvya6c
Minnesota Timberwolves,100,Portland Trail Blazers,112,3/25/17, sshsPmVURxU
Toronto Raptors,94,Dallas Mavericks,86,3/25/17, VfRKnnF-JJo
New York Knicks,98,San Antonio Spurs,106,3/25/17, dJ8pXvUywK4
Washington Wizards,127,Cleveland Cavaliers,115,3/25/17, xEV_6G95u4o
Utah Jazz,95,Los Angeles Clippers,108,3/25/17, fkoeOnItCLc
Sacramento Kings,100,Golden State Warriors,114,3/24/17, BFx0zCw5eG8
Phoenix Suns,120,Boston Celtics,130,3/24/17, cQh_f3Q0-OA
New Orleans Pelicans,107,Houston Rockets,117,3/24/17, kyHz62QrPLs
Cleveland Cavaliers,112,Charlotte Hornets,105,3/24/17, 1Zh6ic-1J9g
New York Knicks,95,Portland Trail Blazers,110,3/23/17, lf7KJaEbZmA
Los Angeles Clippers,95,Dallas Mavericks,97,3/23/17, mfODccx-Syk
Memphis Grizzlies,90,San Antonio Spurs,97,3/23/17, XJ7-z6sf-Sg
Phoenix Suns,98,Brooklyn Nets,126,3/23/17, ulHZcmv-E40
Toronto Raptors,101,Miami Heat,84,3/23/17, MNO7Dh4d7gU
New York Knicks,101,Utah Jazz,108,3/22/17, PY5W4tG4Q_4
Detroit Pistons,95,Chicago Bulls,117,3/22/17, ND2uYGXQyy8
Cleveland Cavaliers,113,Denver Nuggets,126,3/22/17, dImG4ALRsm8
Philadelphia 76ers,97,Oklahoma City Thunder,122,3/22/17, YCR4z8NX5hM
Indiana Pacers,100,Boston Celtics,109,3/22/17, 911-BB9Lha8
Memphis Grizzlies,82,New Orleans Pelicans,95,3/21/17, CpSjSljRzz0
Los Angeles Clippers,133,Los Angeles Lakers,109,3/21/17, 3ZqFcdnd9ds
San Antonio Spurs,100,Minnesota Timberwolves,93,3/21/17, JuBLGohIA0k
Golden State Warriors,112,Dallas Mavericks,87,3/21/17, GKlWgjBNz0c
New York Knicks,105,Los Angeles Clippers,114,3/20/17, ifEf-0y8dSA
Denver Nuggets,124,Houston Rockets,125,3/20/17, v0hxJ2zLMBE
Golden State Warriors,111,Oklahoma City Thunder,95,3/20/17, R7XBYNXB-p4
Washington Wizards,102,Boston Celtics,110,3/20/17, LSDmWnWCgOc
Cleveland Cavaliers,125,Los Angeles Lakers,120,3/19/17, dNLiq1v4tk0
Indiana Pacers,91,Toronto Raptors,116,3/19/17, zlqJ9VQ10bM
Sacramento Kings,102,San Antonio Spurs,118,3/19/17, aDcrOABiYyw
Portland Trail Blazers,115,Miami Heat,104,3/19/17, KSx4HszED-c
Boston Celtics,99,Philadelphia 76ers,105,3/19/17, N5QCx2LH4Rs
Dallas Mavericks,111,Brooklyn Nets,104,3/19/17, qZ_YPum7i4o
Milwaukee Bucks,92,Golden State Warriors,117,3/18/17, X5j1MIyiwQE
Houston Rockets,109,Denver Nuggets,105,3/18/17, HFq2ivQJGk8
San Antonio Spurs,96,Memphis Grizzlies,104,3/18/17, j41IPfnh8CM
Cleveland Cavaliers,78,Los Angeles Clippers,108,3/18/17, NFhA55goy3w
Washington Wizards,93,Charlotte Hornets,98,3/18/17, VbRyAAjOs4A
Portland Trail Blazers,113,Atlanta Hawks,97,3/18/17, 9VJw0gdV6as
Sacramento Kings,94,Oklahoma City Thunder,110,3/18/17, Z5W9UW1ft04
Milwaukee Bucks,107,Los Angeles Lakers,103,3/17/17, wSA4lgiw0FQ
Minnesota Timberwolves,105,Miami Heat,123,3/17/17, NtyruVH3Xyg
Houston Rockets,112,New Orleans Pelicans,128,3/17/17, foBkoZY31H0
Boston Celtics,98,Brooklyn Nets,95,3/17/17, I9KFXts-IIA
Chicago Bulls,107,Washington Wizards,112,3/17/17, uZ5WGAZukN8
Orlando Magic,92,Golden State Warriors,122,3/16/17, f7rNBUfgqOk
Brooklyn Nets,121,New York Knicks,110,3/16/17, iClhaLjQz_U
Oklahoma City Thunder,123,Toronto Raptors,102,3/16/17, m1omtjvncWU
Utah Jazz,83,Cleveland Cavaliers,91,3/16/17, KAGZeMOgf_c
New Orleans Pelicans,112,Miami Heat,120,3/15/17, _lUZPh7mcPc
Milwaukee Bucks,97,Los Angeles Clippers,96,3/15/17, PyEZq4_iBLw
Portland Trail Blazers,110,San Antonio Spurs,106,3/15/17, 7KxIP_NI5Rw
Los Angeles Lakers,100,Houston Rockets,139,3/15/17, g32RdaeOi3w
Minnesota Timberwolves,104,Boston Celtics,117,3/15/17, emTV1lkuphQ
Dallas Mavericks,112,Washington Wizards,107,3/15/17, V9zOyIWbgnk
Philadelphia 76ers,104,Golden State Warriors,106,3/14/17, xwFYVm3SeIY
Portland Trail Blazers,77,New Orleans Pelicans,100,3/14/17, Xtyr9JjD-XQ
Oklahoma City Thunder,122,Brooklyn Nets,104,3/14/17, u4E7KXfE7gQ
Detroit Pistons,96,Cleveland Cavaliers,128,3/14/17, DVoyJbpL5Yw
Los Angeles Lakers,101,Denver Nuggets,129,3/13/17, Pp4RXCKePpI
Los Angeles Clippers,108,Utah Jazz,114,3/13/17, P7LAAY2GFIU
Atlanta Hawks,99,San Antonio Spurs,107,3/13/17, 72woXR_8_o4
Chicago Bulls,115,Charlotte Hornets,109,3/13/17, 4d7odOJdQhA
Philadelphia 76ers,118,Los Angeles Lakers,116,3/12/17, Em_rlWjIu-s
Cleveland Cavaliers,112,Houston Rockets,117,3/12/17, H6CmA6iZwGM
Chicago Bulls,80,Boston Celtics,100,3/12/17, JvebN0phEdg
Golden State Warriors,85,San Antonio Spurs,107,3/11/17, RnLMMlFa9Hg
Cleveland Cavaliers,116,Orlando Magic,104,3/11/17, W68UJe9jEXA
Philadelphia 76ers,100,Los Angeles Clippers,112,3/11/17, q-D-WWI_J6A
Utah Jazz,104,Oklahoma City Thunder,112,3/11/17, 2NJnN0JzlbU
Houston Rockets,115,Chicago Bulls,94,3/10/17, sk9s0OsEiLY
Golden State Warriors,102,Minnesota Timberwolves,103,3/10/17, 5feVPwSro3s
San Antonio Spurs,92,Oklahoma City Thunder,102,3/9/17, bc9R7KTHnjk
Cleveland Cavaliers,101,Detroit Pistons,106,3/9/17, 3c1b48bIwew
Boston Celtics,99,Golden State Warriors,86,3/8/17, GShZUiyqEH0
Sacramento Kings,104,San Antonio Spurs,114,3/8/17, yVPqoPOPNvY
Utah Jazz,115,Houston Rockets,108,3/8/17, 3GIxJkMzM00
New York Knicks,93,Milwaukee Bucks,104,3/8/17, dbyYuwV_4Ig
Los Angeles Lakers,111,Dallas Mavericks,122,3/7/17, WBuzCwcWipE
Portland Trail Blazers,126,Oklahoma City Thunder,121,3/7/17, nmQQCkKIAy0
Boston Celtics,102,Los Angeles Clippers,116,3/6/17, wQd1XsfwbZo
Houston Rockets,110,San Antonio Spurs,112,3/6/17, j-CcDxOpanE
Golden State Warriors,119,Atlanta Hawks,111,3/6/17, Jh_0-tgzHbw
Miami Heat,106,Cleveland Cavaliers,98,3/6/17, 6RhbEJpt4Dw
New Orleans Pelicans,105,Los Angeles Lakers,97,3/5/17, KE2t8iOSiLw
Oklahoma City Thunder,89,Dallas Mavericks,104,3/5/17, zeamGEGU2c0
Boston Celtics,106,Phoenix Suns,109,3/5/17, 4PDEnywl7V4
Golden State Warriors,112,New York Knicks,105,3/5/17, 3QcyFOJvYkw
Minnesota Timberwolves,90,San Antonio Spurs,97,3/4/17, XqCRmRcJFfA
Toronto Raptors,94,Milwaukee Bucks,101,3/4/17, wxlKSMqcqig
Cleveland Cavaliers,92,Miami Heat,120,3/4/17, PBxqiQg61AE
San Antonio Spurs,101,New Orleans Pelicans,98,3/3/17, APFtCHqMeNg
Oklahoma City Thunder,111,Phoenix Suns,118,3/3/17, mSXvEMWBSN4
Cleveland Cavaliers,135,Atlanta Hawks,130,3/3/17, BWUPGPzsR8o
Oklahoma City Thunder,109,Portland Trail Blazers,114,3/2/17, 5EnN1Ea7ZDw
Golden State Warriors,87,Chicago Bulls,94,3/2/17, CRIKCfJQxQQ
Houston Rockets,122,Los Angeles Clippers,103,3/1/17, -S2EeZXcgnw
Indiana Pacers,99,San Antonio Spurs,100,3/1/17,IpEVEFYiW5s
Cleveland Cavaliers,99,Boston Celtics,103,3/1/17,BpHYzCIpSww
Charlotte Hornets,109,Los Angeles Lakers,104,2/28/17, JBniRFF4gE8
Utah Jazz,106,Oklahoma City Thunder,109,2/28/17, lCiKQ22_mLw
Golden State Warriors,108,Washington Wizards,112,2/28/17, fbktmLYD6dQ
Indiana Pacers,117,Houston Rockets,108,2/27/17, xnSoDUh-waQ
Golden State Warriors,119,Philadelphia 76ers,108,2/27/17, kVaoo69FLqo
Milwaukee Bucks,95,Cleveland Cavaliers,102,2/27/17, Phy6RdfxhGA
New Orleans Pelicans,110,Oklahoma City Thunder,118,2/26/17, kZLIUyApu3E
Boston Celtics,104,Detroit Pistons,98,2/26/17, mRX5N6Wv1fw
Phoenix Suns,96,Milwaukee Bucks,100,2/26/17, LJJY46jASrY
San Antonio Spurs,119,Los Angeles Lakers,98,2/26/17, JAHTPIQHQIc
Brooklyn Nets,95,Golden State Warriors,112,2/25/17, 3WTSwfXsGGc
Chicago Bulls,117,Cleveland Cavaliers,99,2/25/17, v47HaxXgy9w
San Antonio Spurs,105,Los Angeles Clippers,97,2/24/17, tzUX_-gl8Xc
Boston Celtics,97,Toronto Raptors,107,2/24/17, B-LWXhWNr1s
Los Angeles Lakers,93,Oklahoma City Thunder,110,2/24/17, tls3JmU_-zY
Los Angeles Clippers,113,Golden State Warriors,123,2/23/17, klbUtjRfbA0
Houston Rockets,129,New Orleans Pelicans,99,2/23/17, z2IX2sg8BlA
New York Knicks,104,Cleveland Cavaliers,119,2/23/17, w1jMR732XdM
Team EAST,,Team WEST,,2/19/17, RllGs6GWwsI
Boston Celtics,103,Chicago Bulls,104,2/16/17, BRt5DR8T7Tc
Sacramento Kings,86,Golden State Warriors,109,2/15/17, UdJJtZScv0A
Cleveland Cavaliers,116,Minnesota Timberwolves,108,2/14/17, r1ZWLmb4a2U
Golden State Warriors,110,Denver Nuggets,132,2/13/17, hcjguHTsldg
Boston Celtics,111,Dallas Mavericks,98,2/13/17, gCZFtAIB4N4
San Antonio Spurs,110,Indiana Pacers,106,2/13/17, ZZdkOmCjmso
Chicago Bulls,89,Minnesota Timberwolves,117,2/12/17, aUkN61x60gs
San Antonio Spurs,90,New York Knicks,94,2/12/17, lQj0jbWy5xM
Golden State Warriors,130,Oklahoma City Thunder,114,2/11/17, obmRMQlqKAs
Denver Nuggets,109,Cleveland Cavaliers,125,2/11/17, bHQ4Av1NsLU
Chicago Bulls,97,Phoenix Suns,115,2/10/17, Dpm1NZ4XuKU
Los Angeles Lakers,122,Milwaukee Bucks,114,2/10/17, Y4cjS5m-jo0
Golden State Warriors,122,Memphis Grizzlies,107,2/10/17, TqFr8R6HmpU
San Antonio Spurs,103,Detroit Pistons,92,2/10/17, RdFyox32Puc
Cleveland Cavaliers,109,Oklahoma City Thunder,118,2/9/17, 41FzSRyjuKc
Houston Rockets,107,Charlotte Hornets,95,2/9/17, 2K-O6TVHDUY
Boston Celtics,92,Sacramento Kings,108,2/8/17, jIxhRWwfXvA
Chicago Bulls,92,Golden State Warriors,123,2/8/17, hl9_aFWbByU
Miami Heat,106,Milwaukee Bucks,88,2/8/17, 7JYkwWeryWc
Cleveland Cavaliers,132,Indiana Pacers,117,2/8/17, elwDhbpRn6Q
Orlando Magic,104,Houston Rockets,128,2/7/17, 2IeYIfNUJnQ
Brooklyn Nets,107,Charlotte Hornets,111,2/7/17, 8ad1u7iZpnA
San Antonio Spurs,74,Memphis Grizzlies,89,2/6/17, lotnBN8uvCc
Cleveland Cavaliers,140,Washington Wizards,135,2/6/17, 5CIEQiy85YI
Los Angeles Lakers,121,New York Knicks,107,2/6/17, ic1ArVmlx94
Golden State Warriors,106,Sacramento Kings,109,2/4/17, Aevzj2vO4B4
Denver Nuggets,97,San Antonio Spurs,121,2/4/17, PRdG5JnlZsA
Cleveland Cavaliers,111,New York Knicks,104,2/4/17, bLDVvzMw6oo
Chicago Bulls,117,Houston Rockets,121,2/3/17, huuaM3d6uN0
Los Angeles Lakers,107,Boston Celtics,113,2/3/17, aKtV3UaCtHU
Golden State Warriors,133,Los Angeles Clippers,120,2/2/17, f8-tnlyociA
Philadelphia 76ers,86,San Antonio Spurs,102,2/2/17, A6v66bnL1Ys
Los Angeles Lakers,108,Washington Wizards,116,2/2/17, y7DOrRxRTtY
Charlotte Hornets,111,Golden State Warriors,126,2/1/17, 5pvmA4_ZRGM
Minnesota Timberwolves,97,Cleveland Cavaliers,125,2/1/17, ewTTjTsw244
Oklahoma City Thunder,94,San Antonio Spurs,108,1/31/17, jLThdGMMnes
Sacramento Kings,83,Houston Rockets,105,1/31/17, 47BjnWn6IyY
Detroit Pistons,109,Boston Celtics,113,1/30/17, pMh0NuT0uXg
Cleveland Cavaliers,97,Dallas Mavericks,104,1/30/17, VFXpmxC5ZTU
Golden State Warriors,113,Portland Trail Blazers,111,1/29/17, -17L5yzhjpc
Oklahoma City Thunder,91,Cleveland Cavaliers,107,1/29/17, bNMruSQqJK8
Boston Celtics,112,Milwaukee Bucks,108,1/28/17, 03PpnYFlty4
Los Angeles Clippers,98,Golden State Warriors,144,1/28/17, Qgf_ShDyMRU
Orlando Magic,98,Boston Celtics,128,1/27/17, yX_eVbEcqe8
San Antonio Spurs,103,New Orleans Pelicans,119,1/27/17, XYXQavn6_XE
Brooklyn Nets,116,Cleveland Cavaliers,124,1/27/17, o_eKtCfxEog
Los Angeles Lakers,88,Utah Jazz,96,1/26/17, 38Ae0cgSsVE
Indiana Pacers,109,Minnesota Timberwolves,103,1/26/17, THYm1llfBwg
Boston Celtics,108,Washington Wizards,123,1/24/17, PouwxBLpMhw
